date,dengue_cases
1966,162
1967,355
1968,158
1969,60
1970,32
1971,19
1972,12
1973,1255
1974,229
1975,59
1976,30
1977,92
1978,384
1979,156
1980,253
1981,136
1982,216
1983,205
1984,86
1985,126
1986,354
1987,436
1988,245
1989,944
1990,1733
1991,2179
1992,2878
1993,946
1994,1239
1995,2008
1996,3128
1997,4300
1998,5258
1999,1355
2000,673
2001,2372
2002,3945
2003,4788
2004,9459
2005,14209
2006,3127
2007,8826
2008,7031
2009,4497
2010,5363
2011,5330
2012,4632
2013,22170
2014,18326
2015,11294
2016,13085
2017,2767
2018,3283
2019,15979
2020,35266
2021,5261
