date,dengue_cases,max_monthly_max_rainfall,total_rday,total_rainfall,rh_mean,temp_mean
1982,216.0,109.0,130.0,1581.7,81.96666666666667,27.358333333333334
1983,205.0,181.8,145.0,1993.7,82.28333333333333,27.666666666666668
1984,86.0,154.4,191.0,2686.7,84.61666666666666,26.766666666666666
1985,126.0,86.8,181.0,1483.9,83.20833333333333,27.116666666666664
1986,354.0,131.7,174.0,2536.1,82.86666666666666,27.099999999999998
1987,436.0,127.4,151.0,2102.8,82.86666666666666,27.375
1988,245.0,187.3,173.0,2598.6,83.84166666666667,27.233333333333334
1989,944.0,148.6,173.0,2463.2,84.35000000000001,26.916666666666668
1990,1733.0,153.7,142.0,1523.8,82.20833333333333,27.59166666666667
1991,2179.0,129.9,146.0,1877.0,83.13333333333334,27.433333333333334
1992,2878.0,120.6,163.0,2260.8,83.30833333333334,27.349999999999998
1993,946.0,67.6,163.0,2168.7,83.65833333333335,27.433333333333334
1994,1239.0,178.3,160.0,1941.8,83.31666666666666,27.59166666666667
1995,2008.0,198.6,179.0,2332.6,84.54166666666667,27.583333333333332
1996,3128.0,94.3,170.0,2418.0,83.35000000000001,27.491666666666664
1997,4300.0,65.8,116.0,1118.9,79.63333333333334,28.25
1998,5258.0,84.4,177.0,2623.1,82.45833333333333,28.3
1999,1355.0,76.9,177.0,2134.0,84.15833333333333,27.491666666666664
2000,673.0,127.6,188.0,2370.5,84.74166666666666,27.458333333333332
2001,2372.0,211.1,184.0,2783.1000000000004,84.26666666666667,27.608333333333334
2002,3945.0,84.0,139.0,1748.9,82.49166666666666,28.083333333333332
2003,4788.0,194.4,186.0,2391.2,84.3,27.75
2004,9459.0,177.8,147.0,2136.4,83.46666666666667,27.858333333333334
2005,14209.0,133.8,175.0,1930.7,83.15833333333333,28.016666666666666
2006,3127.0,198.0,174.0,2753.2,84.59166666666667,27.724999999999998
2007,8826.0,159.0,195.0,2886.2,84.5,27.53333333333333
2008,7031.0,133.9,182.0,2325.1,83.40833333333333,27.483333333333334
2009,4497.0,86.6,166.0,1920.9,82.36666666666666,27.916666666666668
2010,5363.0,121.1,178.0,2075.1,82.875,28.099999999999998
2011,5330.0,216.2,188.0,2524.2000000000003,84.625,27.575
2012,4632.0,92.3,191.0,2159.9,83.475,27.53333333333333
2013,22170.0,139.8,206.0,2748.4,81.69166666666666,27.650000000000002
2014,18326.0,64.4,152.0,1538.4,78.52499999999999,27.90833333333333
2015,11294.0,63.2,125.0,1267.1,76.89999999999999,28.25
2016,13085.0,75.4,179.0,1955.7,75.95,28.416666666666668
2017,2767.0,69.8,204.0,2045.6,82.625,27.7
2018,3283.0,60.6,188.0,1708.2,79.60000000000001,27.891666666666666
2019,15979.0,92.2,120.0,1367.5,76.64999999999999,28.425
2020,35266.0,64.2,178.0,1886.6,78.08333333333333,28.041666666666668
2021,5261.0,210.6,182.0,2809.6,78.45,27.90833333333333
